1,"Undergraduate Loan",3.20,1
2,"Undergraduate Loan",3.00,19
3,"Undergraduate Loan",2.00,15
4,"Graduate Loan",5.40,9
5,"Graduate Loan",2.00,8
6,"Graduate Loan",0.80,13
7,"Graduate Loan",3.00,27
8,"Professional Loan",0.60,24
9,"Graduate Loan",1.20,10
10,"Professional Loan",17.80,9
11,"Professional Loan",4.80,39
12,"Graduate Loan",0.20,5
13,"Professional Loan",7.60,23
14,"Graduate Loan",5.00,32
15,"Undergraduate Loan",4.00,41
16,"Professional Loan",3.00,30
17,"Professional Loan",9.40,14
18,"Undergraduate Loan",4.80,18
19,"Professional Loan",16.20,21
20,"Graduate Loan",1.00,28
21,"Graduate Loan",1.80,31
22,"Professional Loan",4.00,27
23,"Undergraduate Loan",2.40,5
24,"Undergraduate Loan",1.40,18
25,"Undergraduate Loan",7.80,11
26,"Undergraduate Loan",1.00,19
27,"Professional Loan",0.40,16
28,"Undergraduate Loan",4.80,20
29,"Professional Loan",4.40,30
30,"Graduate Loan",6.60,13
31,"Professional Loan",2.40,35
32,"Graduate Loan",4.00,16
33,"Professional Loan",1.20,28
34,"Professional Loan",1.80,6
35,"Professional Loan",3.60,5
36,"Undergraduate Loan",1.40,24
37,"Undergraduate Loan",5.80,35
38,"Professional Loan",2.80,25
39,"Professional Loan",10.00,18
40,"Professional Loan",1.40,13
41,"Professional Loan",3.20,32
42,"Undergraduate Loan",4.60,9
43,"Graduate Loan",2.20,7
44,"Undergraduate Loan",1.40,15
45,"Undergraduate Loan",11.40,20
46,"Undergraduate Loan",5.00,31
47,"Graduate Loan",1.40,14
48,"Professional Loan",0.40,12
49,"Professional Loan",9.00,26
50,"Undergraduate Loan",3.60,16
51,"Graduate Loan",1.40,8
52,"Undergraduate Loan",5.80,37
53,"Undergraduate Loan",0.20,6
54,"Professional Loan",4.20,26
55,"Professional Loan",0.40,5
56,"Undergraduate Loan",16.00,17
57,"Graduate Loan",0.20,30
58,"Professional Loan",2.40,31
59,"Undergraduate Loan",0.40,2
60,"Undergraduate Loan",9.00,5
61,"Graduate Loan",3.40,24
62,"Undergraduate Loan",11.40,21
63,"Undergraduate Loan",2.00,18
64,"Graduate Loan",0.00,17
65,"Undergraduate Loan",6.60,23
66,"Undergraduate Loan",7.60,35
67,"Undergraduate Loan",5.60,36
68,"Professional Loan",4.00,23
69,"Undergraduate Loan",4.20,21
70,"Undergraduate Loan",0.40,29
71,"Undergraduate Loan",7.00,18
72,"Graduate Loan",2.00,29
73,"Undergraduate Loan",10.00,20
74,"Professional Loan",8.00,16
75,"Undergraduate Loan",6.60,3
76,"Graduate Loan",7.60,7
77,"Professional Loan",0.60,32
78,"Graduate Loan",1.00,20
79,"Professional Loan",5.20,30
80,"Undergraduate Loan",0.80,26
81,"Undergraduate Loan",2.60,36
82,"Graduate Loan",5.40,22
83,"Professional Loan",8.00,16
84,"Graduate Loan",4.80,9
85,"Professional Loan",1.80,22
86,"Professional Loan",3.60,2
87,"Graduate Loan",4.40,16
88,"Undergraduate Loan",2.20,22
89,"Undergraduate Loan",2.20,41
90,"Professional Loan",4.60,-1
91,"Graduate Loan",11.20,30
92,"Professional Loan",2.20,10
93,"Graduate Loan",1.20,19
94,"Professional Loan",3.40,34
95,"Undergraduate Loan",4.00,39
96,"Professional Loan",0.40,12
97,"Undergraduate Loan",10.40,15
98,"Undergraduate Loan",5.80,28
99,"Undergraduate Loan",0.60,23
100,"Professional Loan",0.20,41
101,"Undergraduate Loan",2.40,23
102,"Graduate Loan",2.60,36
103,"Professional Loan",2.00,23
104,"Graduate Loan",0.60,18
105,"Undergraduate Loan",2.60,32
106,"Graduate Loan",0.20,0
107,"Undergraduate Loan",5.80,17
108,"Undergraduate Loan",1.40,18
109,"Professional Loan",1.20,7
110,"Undergraduate Loan",5.60,17
111,"Graduate Loan",2.00,14
112,"Graduate Loan",2.60,38
113,"Undergraduate Loan",2.00,15
114,"Undergraduate Loan",5.60,34
115,"Professional Loan",1.00,14
116,"Graduate Loan",3.60,40
117,"Graduate Loan",3.00,29
118,"Professional Loan",4.60,33
119,"Undergraduate Loan",6.00,16
120,"Undergraduate Loan",9.20,7
121,"Professional Loan",0.40,29
122,"Professional Loan",1.80,26
123,"Graduate Loan",1.40,32
124,"Graduate Loan",7.20,13
125,"Undergraduate Loan",4.80,15
126,"Undergraduate Loan",1.00,35
127,"Undergraduate Loan",2.60,5
128,"Graduate Loan",5.40,8
129,"Undergraduate Loan",0.00,14
130,"Professional Loan",1.00,16
